zone,population,dispo_ali(kg/pers/an),dispo_intérieure,importation (tonnes),PIB/hab (US$),stab_p
Mexique,124777324.0,32.52,4219.0,972000.0,19721.3,-0.15
Allemagne,82658409.0,19.47,1739.0,842000.0,53071.5,-0.15
Royaume-Uni de Grande-Bretagne et d'Irlande du Nord,66727460.99999999,31.94,2234.0,779000.0,46372.4,-0.15
Italie,60673701.0,18.88,1173.0,97000.0,41581.1,0.19
Afrique du Sud,57009756.0,35.69,2118.0,514000.0,13860.3,-0.15
République de Corée,51096415.0,16.7,854.0,137000.0,40957.4,0.225
Canada,36732095.0,39.02,1433.0,182000.0,48317.2,1.1
Arabie saoudite,33101179.0,43.36,1435.0,722000.0,47306.2,-0.15
Cuba,11339254.0,23.72,342.0,312000.0,25855.9,0.65
Portugal,10288527.0,30.58,325.0,82000.0,33044.7,1.12
Hongrie,9729823.0,25.27,266.0,58000.0,29501.1,0.56
Singapour,5708041.0,20.39,104.5,1000.0,95310.3,0.33
Finlande,5511371.0,18.76,111.0,16000.0,47570.1,0.305
Slovaquie,5447900.0,13.9,74.0,63000.0,30061.6,0.56
Norvège,5296326.0,19.05,102.0,2000.0,64050.8,0.525
